Проект/АПК;Номер;Продукт;Вендор;Страна;Санкционная независимость/CoreIT;Опыт внедрений;Готовность к участию;Технические критерии (Комбинир./Ложные сигналы/Доработки);Статус в коротком списке
IT.P.22-75 / IT.R.23-25 (MES);1;I-DS;Индасофт;РФ;Да (CoreIT);Да (>=2 проектов);Да;-;В коротком списке
IT.P.22-75 / IT.R.23-25 (MES);2;ZIAK, ZIIoT;Цифра;РФ;Да (CoreIT);Да (>=2 проектов);Да;-;В коротком списке
IT.P.22-75 / IT.R.23-25 (MES);3;AggreGate;Тиббо;РФ;Да (CoreIT);Да (>=2 проектов);Да;-;В коротком списке
IT.P.22-75 / IT.R.23-25 (MES);4;ДатаПлат, AlphaSCADA;ИнфТех;РФ;* (готовность заявлена);Да (>=2 проектов);Да;-;В коротком списке
IT.P.22-75 / IT.R.23-25 (MES);5;DATA-TRACK;ДатацентрАвтоматика;РФ;* (готовность заявлена);Да (>=2 проектов);Да;-;В коротком списке
IT.P.22-75 / IT.R.23-25 (MES);6;Магистраль;Ай-Теко;РФ;* (готовность заявлена);Да (>=2 проектов);Да;-;В коротком списке
IT.P.22-75 / IT.R.23-25 (MES);7;TL.Solutions;Терралинк;РФ;* (готовность заявлена);Нет;Да;-;Отклонен
IT.P.22-75 / IT.R.23-25 (MES);8;ПРОГРЕСС-ПЛАТФОРМА;ПрогресСофт;РФ;* (готовность заявлена);Нет;Да;-;Отклонен
IT.P.22-75 / IT.R.23-25 (MES);9;Платформа АТОЛЛ;АТОЛЛис;РФ;* (готовность заявлена);Нет;Да;-;Отклонен
IT.P.22-75 / IT.R.23-25 (MES);10;Simple-Scada;Симпл-Скада;РФ;Нет;Нет;Нет;-;Отклонен
IT.P.22-75 / IT.R.23-25 (MES);11;МПС софт MasterSCADA4D;MasterSCADA;РФ;* (готовность заявлена);Нет;Нет;-;Отклонен
IT.P.22-75 / IT.R.23-25 (MES);12;СибкомЦифра КАСКАД;КАСКАД;РФ;* (готовность заявлена);Нет;Нет;-;Отклонен
IT.P.22-75 / IT.R.23-25 (MES);13;МСА Платформа;MSA;РФ;Нет;Нет;Нет;-;Отклонен
IT.P.22-75 / IT.R.23-25 (MES);14;LogistiX;Lead MES;РФ;Нет;Нет;Нет;-;Отклонен
IT.P.22-75 / IT.R.23-25 (MES);15;Альма;Альма;РФ;Нет;Нет;Нет;-;Отклонен
IT.P.23-40 (СПС);1;PDS Proximity For Miners (MS4M);MineSense;Перу;<Private>;Желтый;Да;Комбинированный: Да, Ложные сигналы: Да, Доработки: Да;В коротком списке
IT.P.23-40 (СПС);2;RealTrac;RealTracTechnologies;РФ;<Private>;Зеленый;Да;Комбинированный: Нет, Ложные сигналы: Нет, Доработки: Нет;Отклонен (ненадежно)
IT.P.23-40 (СПС);3;AKVILON;V2 Group;РФ;<Private>;Зеленый;Да;Комбинированный: Нет, Ложные сигналы: Нет, Доработки: Нет;Отклонен (ненадежно)
IT.P.23-40 (СПС);4;СПС;* ООО «УралТехИс»;РФ;<Private>;Зеленый;Да;Комбинированный: Нет, Ложные сигналы: Нет, Доработки: Нет;Отклонен
IT.P.23-40 (СПС);5;СПС;* DC-Logic;РФ;<Private>;Зеленый;Да;Комбинированный: Нет, Ложные сигналы: Нет, Доработки: Да;Не тестировалось
IT.P.23-40 (СПС);6;Обзор 360;ГК Цифра;РФ;<Private>;Зеленый;Да;Комбинированный: Нет, Ложные сигналы: Нет, Доработки: Да;Не тестировалось (санкционное оборудование)
IT.P.23-63 (Мониторинг давления);1;АСДК «ЭЛМОН»;ООО «РАНК-ГиС»;РФ;Приемлемые риски;-;Да;-;В коротком списке
IT.P.23-63 (Мониторинг давления);2;GITS;Межотраслевой научный центр "ВНИМИ";РФ;Приемлемые риски;-;Да;-;В коротком списке
